source,stream,rxMs,panoX,panoY,correctedPanoY,rawAzimuthDeg,relativeElevationDeg,absoluteElevationDeg,verticalAngularSizeDeg,panoramaAngularWidthDeg,model,fovDeg,principalYpx,focalYpx,axisPitchDeg,calibrationLevel
BW_20260723_163943_6730.jpg,BW,1784795983762,40517,1766.00000000,1766.00000000,222.56652832,1.88131292,,0.13356630,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163943_6730.jpg,BW,1784795983762,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163952_6745.jpg,BW,1784795992406,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163952_6746.jpg,BW,1784795992985,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14024515,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163952_6746.jpg,BW,1784795992985,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164001_6761.jpg,BW,1784796001633,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.27399510,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164001_6762.jpg,BW,1784796002209,40519,1765.00000000,1765.00000000,222.57751465,1.88799127,,0.13356630,0.10986328,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164001_6762.jpg,BW,1784796002209,40952,2034.00000000,2034.00000000,224.95605469,0.09025519,,0.14039668,0.10986328,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164010_6777.jpg,BW,1784796010852,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164011_6778.jpg,BW,1784796011432,40517,1766.00000000,1766.00000000,222.56652832,1.88131292,,0.14024515,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164011_6778.jpg,BW,1784796011432,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164019_6793.jpg,BW,1784796020081,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164020_6794.jpg,BW,1784796020653,40518,1766.00000000,1766.00000000,222.57202148,1.88131292,,0.14024515,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164020_6794.jpg,BW,1784796020653,40254,1740.00000000,1740.00000000,221.12182617,2.05493271,,0.14021590,0.14282227,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164029_6809.jpg,BW,1784796029268,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164029_6810.jpg,BW,1784796029846,40519,1765.00000000,1765.00000000,222.57751465,1.88799127,,0.14024407,0.09887695,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164029_6810.jpg,BW,1784796029846,40951,2110.00000000,2110.00000000,224.95056152,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164038_6825.jpg,BW,1784796038506,43257,1873.00000000,1873.00000000,237.61779785,1.16647163,,0.26731295,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164038_6826.jpg,BW,1784796039054,40518,1766.00000000,1766.00000000,222.57202148,1.88131292,,0.14024515,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164038_6826.jpg,BW,1784796039054,40952,2111.00000000,2111.00000000,224.95605469,-0.42452623,,0.22729677,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164047_6841.jpg,BW,1784796047694,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164048_6842.jpg,BW,1784796048271,40517,1766.00000000,1766.00000000,222.56652832,1.88131292,,0.14024515,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164048_6842.jpg,BW,1784796048271,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164056_6857.jpg,BW,1784796056920,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164057_6858.jpg,BW,1784796057500,40517,1765.00000000,1765.00000000,222.56652832,1.88799127,,0.14024515,0.14282227,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164057_6858.jpg,BW,1784796057500,40951,2110.00000000,2110.00000000,224.95056152,-0.41784102,,0.22729716,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164105_6873.jpg,BW,1784796066156,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164106_6874.jpg,BW,1784796066732,40518,1766.00000000,1766.00000000,222.57202148,1.88131292,,0.14024407,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164106_6874.jpg,BW,1784796066732,40254,1740.00000000,1740.00000000,221.12182617,2.05493271,,0.13353951,0.14282227,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164115_6889.jpg,BW,1784796075385,43259,1870.00000000,1870.00000000,237.62878418,1.18651989,,0.22721287,0.14831543,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164115_6890.jpg,BW,1784796075962,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14024407,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164115_6889.jpg,BW,1784796075385,41663,2767.00000000,2767.00000000,228.86169434,-4.79901701,,0.12613312,0.07690430,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164133_6921.jpg,BW,1784796093837,43258,1870.00000000,1870.00000000,237.62329102,1.18651989,,0.20716323,0.15380859,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164124_6905.jpg,BW,1784796084613,42495,930.00000000,930.00000000,233.43200684,7.42921267,,0.09860550,0.15380859,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164134_6922.jpg,BW,1784796094414,40517,1765.00000000,1765.00000000,222.56652832,1.88799127,,0.14024407,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164142_6937.jpg,BW,1784796103062,43260,1869.00000000,1869.00000000,237.63427734,1.19320259,,0.20047811,0.14831543,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164142_6937.jpg,BW,1784796103062,42362,1102.00000000,1102.00000000,232.70141602,6.29574985,,0.11228656,0.24169922,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164143_6938.jpg,BW,1784796103638,40951,2110.00000000,2110.00000000,224.95056152,-0.41784102,,0.22729677,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164152_6953.jpg,BW,1784796112284,43259,1872.00000000,1872.00000000,237.62878418,1.17315441,,0.29404552,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164152_6953.jpg,BW,1784796112284,42352,1105.00000000,1105.00000000,232.64648438,6.27593356,,0.11229512,0.24719238,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164152_6954.jpg,BW,1784796112860,40519,1766.00000000,1766.00000000,222.57751465,1.88131292,,0.14024515,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
